Panel,Protein,Uniprot,OlinkRef,Diagnosis,Inter subject,Biotemporal
IMMUNO-ONCOLOGY,ICOSLG,O75144,OID00828,0,72.10378715710962,27.89621284289038
IMMUNO-ONCOLOGY,IL10,P22301,OID00809,0,45.051819735962695,54.9481802640373
IMMUNO-ONCOLOGY,IL12,P29459.P29460,OID00842,0.2868097758639064,74.0447475214977,25.6684427026384
IMMUNO-ONCOLOGY,IL12RB1,P42701,OID00835,0,75.77474334559508,24.225256654404916
IMMUNO-ONCOLOGY,IL18,Q14116,OID00782,0,67.97829163569784,32.02170836430215
IMMUNO-ONCOLOGY,IL6,P05231,OID00763,5.675486476484749,31.588320817378523,62.73619270613672
IMMUNO-ONCOLOGY,IL7,P13232,OID00761,0.01656307771634429,34.521900924428586,65.46153599785507
IMMUNO-ONCOLOGY,IL8,P10145,OID00752,2.918815677738784,30.895398134995336,66.18578618726588
IMMUNO-ONCOLOGY,KLRD1,Q13241,OID00839,0,83.99923831351751,16.00076168648248
IMMUNO-ONCOLOGY,LAMP3,Q9UQV4,OID00826,0,51.14406867310752,48.85593132689249
IMMUNO-ONCOLOGY,LAP.TGF.beta.1,P01137,OID00785,1.3107078825906135,44.44175669574471,54.24753542166468
IMMUNO-ONCOLOGY,MCP.1,P13500,OID00765,0,56.586116060219226,43.413883939780774
IMMUNO-ONCOLOGY,MCP.2,P80075,OID00795,0,75.26420224659603,24.735797753403986
IMMUNO-ONCOLOGY,MCP.3,P80098,OID00755,0,54.42080573816623,45.57919426183378
IMMUNO-ONCOLOGY,MCP.4,Q99616,OID00768,0,51.001995402000816,48.998004597999184
IMMUNO-ONCOLOGY,MIC.A.B,Q29983.Q29980,OID00820,0,98.83187763240501,1.1681223675949772
IMMUNO-ONCOLOGY,MMP12,P39900,OID00829,0,77.34516234001637,22.654837659983627
IMMUNO-ONCOLOGY,MMP7,P09237,OID00814,0,75.0098513039313,24.990148696068694
IMMUNO-ONCOLOGY,NCR1,O76036,OID00816,0,85.38900154937585,14.61099845062414
IMMUNO-ONCOLOGY,NOS3,P29474,OID00777,0,57.687189690730754,42.312810309269246
IMMUNO-ONCOLOGY,PD.L1,Q9NZQ7,OID00799,0,75.31690658619904,24.68309341380095
IMMUNO-ONCOLOGY,PD.L2,Q9BQ51,OID00831,1.4814176879029883,83.47811438495872,15.040467927138302
IMMUNO-ONCOLOGY,PDCD1,Q15116,OID00791,0,64.4800015755004,35.519998424499605
IMMUNO-ONCOLOGY,PDGF.subunit.B,P01127,OID00790,0,52.022036336384666,47.977963663615334
IMMUNO-ONCOLOGY,PGF,P49763,OID00762,5.456221493145919,80.34318110542641,14.200597401427661
IMMUNO-ONCOLOGY,PTN,P21246,OID00823,0,90.71920079520163,9.280799204798372
IMMUNO-ONCOLOGY,TIE2,Q02763,OID00754,1.3513102538787811,59.55679975354481,39.091889992576405
IMMUNO-ONCOLOGY,TNFRSF12A,Q9NP84,OID00810,2.358714792985128,72.68000506668396,24.961280140330903
IMMUNO-ONCOLOGY,TNFRSF21,O75509,OID00818,0,81.87791739869893,18.122082601301084
IMMUNO-ONCOLOGY,TNFRSF4,P43489,OID00819,0,77.70423702576034,22.295762974239665
IMMUNO-ONCOLOGY,TNFRSF9,Q07011,OID00753,0,83.89080909928279,16.109190900717195
